University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,full_address,location,Latitude,Longitude
Providence College,Providence,RI,Roman Catholic               ,84.87,55.13,49.56,64.793,"Providence College, Providence, RI","Providence College, 1, Cunningham Square, Providence, Providence County, Rhode Island, 02918, United States",41.8442938,-71.43548862523096
Salve Regina University,Newport,RI,Roman Catholic               ,52.19,48.09,50.0,50.494,"Salve Regina University, Newport, RI","Salve Regina University, 100, Ochre Point Avenue, Newport, Newport County, Rhode Island, 02840, United States",41.471202000000005,-71.30049366464249
Christian Brothers University,Memphis,TN,Roman Catholic               ,23.64,46.06,49.52,38.479,"Christian Brothers University, Memphis, TN","Christian Brothers University, 650, East Parkway South, Lenox, Memphis, Shelby County, West Tennessee, Tennessee, 38104, United States",35.128969600000005,-89.98022497909133
University of Dallas,Irving,TX,Roman Catholic               ,58.71,45.86,50.24,52.752,"University of Dallas, Irving, TX","University of Dallas, 1845, East Northgate Drive, Irving, Dallas County, Texas, 75062, United States",32.8487635,-96.92256763370509
University of the Incarnate Word,San Antonio,TX,Roman Catholic               ,97.37,64.62,49.4,71.624,"University of the Incarnate Word, San Antonio, TX","University of the Incarnate Word, Groveland Place, San Antonio, Bexar County, Texas, 78209, United States",29.4688466,-98.46910390973764
University of St Thomas,Houston,TX,Roman Catholic               ,94.93,50.04,49.28,67.687,"University of St Thomas, Houston, TX","University of Saint Thomas, Branard Street, Roseland Estates, Montrose, Houston, Harris County, Texas, 77006, United States",29.7368408,-95.39417194809748
St. Mary's University,San Antonio,TX,Roman Catholic               ,69.5,48.84,53.98,59.159,"St. Mary's University, San Antonio, TX","St. Mary's University, Bradford Avenue, San Antonio, Bexar County, Texas, 78228, United States",29.45223455,-98.56460747256097
Saint Michael's College,Colchester,VT,Roman Catholic               ,29.56,42.07,49.12,39.889,"Saint Michael's College, Colchester, VT","Saint Michael's College, 1, College Parkway, Colchester, Chittenden County, Vermont, 05439, United States",44.4952594,-73.16559401843895
Marymount University,Arlington,VA,Roman Catholic               ,59.29,49.8,48.32,53.003,"Marymount University, Arlington, VA","Marymount University, 2807, North Glebe Road, Garden City, Arlington County, Virginia, 22207, United States",38.9054445,-77.12768184296903
Gonzaga University,Spokane,WA,Roman Catholic               ,95.8,64.65,49.68,71.114,"Gonzaga University, Spokane, WA","Gonzaga University, East Desmet Avenue, Spokane, Spokane County, Washington, 99258, United States",47.66710255,-117.4030545594068
Saint Martin's University,Lacey,WA,Roman Catholic               ,45.86,44.87,49.88,47.271,"Saint Martin's University, Lacey, WA","Saint Martin's University, Desmond Drive Southeast, Lacey, Thurston County, Washington, 98503, United States",47.04343285,-122.81343957968636
Seattle University,Seattle,WA,Roman Catholic               ,89.42,66.93,52.91,70.312,"Seattle University, Seattle, WA","Seattle University, East Jefferson Street, Yesler Terrace, Seattle, King County, Washington, 98104, United States",47.60950425,-122.31879829702284
Wheeling University,Wheeling,WV,Roman Catholic               ,26.99,37.71,48.48,37.734,"Wheeling University, Wheeling, WV","Wheeling University, Locust Avenue, Lenox, Wheeling, Ohio County, West Virginia, 26003, United States",40.0714296,-80.69075691654183
Alverno College,Milwaukee,WI,Roman Catholic               ,30.19,44.87,49.36,40.797,"Alverno College, Milwaukee, WI","Alverno College, 3400, South 43rd Street, Alverno, Milwaukee, Milwaukee County, Wisconsin, 53234, United States",42.98375305,-87.96548223659715
Edgewood College,Madison,WI,Roman Catholic               ,36.17,42.74,53.19,44.296,"Edgewood College, Madison, WI","Edgewood College, 1000, Edgewood College Drive, Dudgeon-Monroe, Madison, Dane County, Wisconsin, 53711, United States",43.0588111,-89.42122409051677
Marian University,Fond Du Lac,WI,Roman Catholic               ,31.28,41.53,48.48,40.213,"Marian University, Fond Du Lac, WI","Marian University, 45, South National Avenue, Fond du Lac, Fond du Lac County, Wisconsin, 54935, United States",43.7774111,-88.41412789035714
Mount Mary University,Milwaukee,WI,Roman Catholic               ,36.54,41.45,50.32,43.037,"Mount Mary University, Milwaukee, WI","Mount Mary University, 2900, North Menomonee River Parkway, Mount Mary, Swan Park, Milwaukee, Milwaukee County, Wisconsin, 53222, United States",43.07252155,-88.03145157759188
Viterbo University,La Crosse,WI,Roman Catholic               ,36.84,49.76,53.47,46.078,"Viterbo University, La Crosse, WI","Viterbo University, 900, Viterbo Drive, Washburn, La Crosse, La Crosse County, Wisconsin, 54601, United States",43.80321085,-91.24456329560022
Ave Maria University,Ave Maria,FL,Roman Catholic               ,48.36,41.57,49.96,47.644,"Ave Maria University, Ave Maria, FL","Ave Maria University, Ave Maria Boulevard, Ave Maria, Collier County, Florida, United States",26.33623575,-81.43985445316366
Oakwood University,Huntsville,AL,Seventh Day Adventist,43.84,39.59,48.72,44.944,"Oakwood University, Huntsville, AL","Oakwood University, Jordan Lane Northwest, Gentily Forest, Huntsville, Madison County, Alabama, 35816, United States",34.758802,-86.65459911789776
Prescott College,Prescott,AZ,Seventh Day Adventist,23.7,42.39,53.19,39.239,"Prescott College, Prescott, AZ","Prescott College, Elrod Road, Miller Valley, Prescott, Yavapai County, Arizona, 86313, United States",34.5448939,-112.47749820812083
La Sierra University,Riverside,CA,Seventh Day Adventist,36.32,43.76,52.79,44.399,"La Sierra University, Riverside, CA","Security Kiosk, 4500, Riverwalk Parkway, La Sierra, Riverside, Riverside County, California, 92505, United States",33.9101505,-117.49574645593684
Pacific Union College,Angwin,CA,Seventh Day Adventist,26.5,38.74,48.05,37.572,"Pacific Union College, Angwin, CA","Pacific Union College, College Avenue, Veteran Heights, Angwin, Napa County, California, 94508, United States",38.5702492,-122.4404486
Washington Adventist University,Takoma Park,MD,Seventh Day Adventist,42.31,40.17,47.41,43.924,"Washington Adventist University, Takoma Park, MD","Washington Adventist University, 7600, Flower Avenue, Carroll Manor, Takoma Park, Montgomery County, Maryland, 20912, United States",38.98617775,-77.00002305629916
Andrews University,Berrien Springs,MI,Seventh Day Adventist,36.5,47.17,50.16,44.1,"Andrews University, Berrien Springs, MI","Andrews University, 8975, West Valley View Drive, Berrien Springs, Oronoko Charter Township, Berrien County, Michigan, 49104, United States",41.96966265,-86.36331553855976
Kettering University,Flint,MI,Seventh Day Adventist,25.72,45.46,50.28,39.495,"Kettering University, Flint, MI","Kettering University, 1700, University Avenue, Flint, Genesee County, Michigan, 48504, United States",43.014042200000006,-83.7140043528519
Southwestern Adventist University,Keene,TX,Seventh Day Adventist,36.77,39.4,54.97,44.581,"Southwestern Adventist University, Keene, TX","Southwestern Adventist University, 100, Pecan Street, Keene, Johnson County, Texas, 76059, United States",32.39755805,-97.32821992906278
Walla Walla University,College Place,WA,Seventh Day Adventist,39.59,43.57,51.71,45.237,"Walla Walla University, College Place, WA","Walla Walla University Church, Southwest 4th Street, College Place, Walla Walla County, Washington, 99324, United States",46.0464038,-118.39197724477212
Southern Virginia University,Buena Vista,VA,The Church of Jesus Christ of Latter-day Saints,42.43,40.98,48.88,44.722,"Southern Virginia University, Buena Vista, VA","Southern Virginia University, 1, University Hill Drive, Buena Vista, Virginia, 24416, United States",37.74181535,-79.34037954670688
Talladega College,Talladega,AL,United Church of Christ,34.05,39.51,50.72,41.814,"Talladega College, Talladega, AL","Talladega College, Industrial Boulevard, Talladega, Talladega County, Alabama, 35160, United States",33.4325135,-86.11488779398088
